"","face_PSC","body_PSC","person_PSC","subj","ROI","hemi"
"1",2.318,2.3965,2.6589,1,"FFA","Left"
"2",0.15235,0.094503,0.15895,1,"FFA","Left"
"3",0.83059,0.52593,0.062218,1,"FFA","Left"
"4",8.9318,5.4595,7.1412,1,"FFA","Left"
"5",2.5631,2.3257,2.859,1,"FFA","Left"
"6",0.60121,0.18952,0.67447,1,"FFA","Left"
"7",1.6484,1.0085,1.4805,1,"FFA","Left"
"8",-0.84917,-0.48369,-0.45546,1,"FFA","Left"
"9",0.94414,0.028487,0.2421,1,"FFA","Left"
"10",0.77311,0.39143,0.24639,1,"FFA","Left"
"11",2.0414,2.0618,2.6154,1,"FFA","Left"
"12",1.7264,1.0198,1.2682,1,"FFA","Left"
"13",-0.16558,-0.010281,0.6396,1,"FFA","Left"
"14",1.0245,0.48082,1.1278,1,"FFA","Left"
"15",3.4168,2.357,4.0141,1,"FFA","Left"
"16",1.06,0.67415,0.77283,1,"FFA","Left"
"17",4.7749,2.876,4.1727,1,"FFA","Left"
"18",1.4137,0.68267,1.7641,1,"FFA","Left"
"19",3.8306,2.7821,4.1083,1,"FFA","Left"
"20",7.6528,4.587,6.4203,1,"FFA","Left"
"21",0.95585,0.94759,0.60817,1,"FFA","Left"
"22",1.5075,0.9011,1.4426,1,"FFA","Left"
"23",0.62325,0.38041,0.64895,1,"FFA","Left"
"24",2.5743,0.22154,1.1647,1,"FFA","Left"
"25",0.76544,0.65801,1.3934,1,"FFA","Left"
"26",1.2287,0.073457,1.117,1,"FFA","Left"
"27",0.97959,1.248,1.5131,1,"FFA","Left"
"28",0.99336,-0.25712,0.72237,1,"FFA","Left"
"29",0.18908,0.61142,-0.033994,1,"FFA","Left"
"30",1.9966,2.0676,2.6747,1,"FFA","Left"
"31",0.2362,-1.1401,-1.0573,1,"FFA","Right"
"32",2.6969,1.6862,3.0997,1,"FFA","Right"
"33",0.41799,-0.60356,0.22557,1,"FFA","Right"
"34",1.2601,0.9428,1.193,1,"FFA","Right"
"35",0.60484,0.25342,0.36675,1,"FFA","Right"
"36",1.1119,0.47749,0.84463,1,"FFA","Right"
"37",1.7464,1.9243,1.9412,1,"FFA","Right"
"38",2.1863,1.69,1.7859,1,"FFA","Right"
"39",2.1738,0.77264,1.885,1,"FFA","Right"
"40",2.6538,1.8978,2.8942,1,"FFA","Right"
"41",2.1916,1.6439,2.3241,1,"FFA","Right"
