"","face_PSC","body_PSC","person_PSC","subj","ROI","hemi"
"1",0.042732,-0.39298,0.27969,1,"FFA","Left"
"2",1.6035,0.26365,1.2832,1,"FFA","Left"
"3",3.2596,0.34358,2.8707,1,"FFA","Left"
"4",1.7737,0.12242,0.30535,1,"FFA","Left"
"5",2.087,0.021615,2.131,1,"FFA","Left"
"6",1.0915,3.2521,2.2806,1,"FFA","Left"
"7",1.1459,0.54885,0.96763,1,"FFA","Left"
"8",2.1852,0.82316,1.1111,1,"FFA","Left"
"9",1.0631,-0.37418,0.27855,1,"FFA","Left"
"10",2.3928,1.0782,1.4463,1,"FFA","Left"
"11",3.8078,1.8589,3.5009,1,"FFA","Left"
"12",2.4582,0.4855,2.1604,1,"FFA","Left"
"13",2.325,0.1587,1.52,1,"FFA","Left"
"14",0.40302,-0.3383,0.55925,1,"FFA","Left"
"15",2.6489,1.9581,3.1732,1,"FFA","Left"
"16",1.8061,0.23207,0.68553,1,"FFA","Left"
"17",0.32439,-0.21597,-1.5093,1,"FFA","Left"
"18",0.82077,-1.3512,-0.37642,1,"FFA","Left"
"19",-0.68168,0.59371,0.96873,1,"FFA","Left"
"20",-0.24765,-0.03607,0.35483,1,"FFA","Left"
"21",5.2158,0.72865,4.1251,1,"FFA","Left"
"22",2.0833,-1.789,2.2857,1,"FFA","Left"
"23",1.6027,-0.69135,2.34,1,"FFA","Left"
"24",2.4352,-0.20394,2.6707,1,"FFA","Left"
"25",-0.056932,-0.27829,-0.76102,1,"FFA","Left"
"26",2.0872,0.488,2.0531,1,"FFA","Left"
"27",1.3421,-0.77787,1.8032,1,"FFA","Left"
"28",1.5588,-0.27894,2.0289,1,"FFA","Left"
"29",-0.0035304,0.49959,0.59516,1,"FFA","Left"
"30",1.9398,0.83265,1.9978,1,"FFA","Left"
"31",0.46035,-1.8074,-0.3614,1,"FFA","Right"
"32",6.8727,5.7764,7.7159,1,"FFA","Right"
"33",2.1603,1.7648,2.0788,1,"FFA","Right"
"34",1.1326,0.035966,1.2345,1,"FFA","Right"
"35",1.1876,1.7912,1.0049,1,"FFA","Right"
"36",0.31619,-0.51753,1.0013,1,"FFA","Right"
"37",1.0264,-0.74981,0.78104,1,"FFA","Right"
"38",1.1181,-0.61442,1.6224,1,"FFA","Right"
"39",2.3078,0.11831,2.3541,1,"FFA","Right"
"40",2.8589,2.3647,3.7806,1,"FFA","Right"
"41",1.2238,2.5054,3.5481,1,"FFA","Right"
"42",2.2238,0.1771,2.8871,1,"FFA","Right"
"43",0.5668,3.9758,3.914,1,"FFA","Right"
"44",-1.7491,2.0498,3.5895,1,"FFA","Right"
"45",-0.039514,-1.3236,-0.47938,1,"FFA","Right"
"46",0.64972,0.69733,2.5796,1,"FFA","Right"
"47",-0.078126,1.4766,4.378,1,"FFA","Right"
"48",2.1208,1.985,2.5229,1,"FFA","Right"
"49",2.0198,1.6183,3.1982,1,"FFA","Right"
"50",0.51906,1.7706,1.64,1,"FFA","Right"
"51",0.39343,0.37809,0.68597,1,"FFA","Right"
"52",0.47015,0.78059,1.5202,1,"FFA","Right"
"53",1.1082,-1.0366,0.29407,1,"FFA","Right"
"54",2.0434,0.22196,0.9627,1,"FFA","Right"
"55",1.9769,0.053861,1.9231,1,"FFA","Right"
"56",2.5446,2.2611,3.9045,1,"FFA","Right"
"57",1.1179,0.85523,3.1202,1,"FFA","Right"
"58",0.93487,3.3853,4.4246,1,"FFA","Right"
"59",1.3869,1.2718,1.8303,1,"FFA","Right"
"60",2.6391,2.3309,4.779,1,"FFA","Right"
"61",-0.4924,-0.81859,-0.47643,1,"FBA","Right"
"62",3.402,1.8733,3.2114,1,"FBA","Right"
"63",0.26908,1.8174,0.54364,1,"FBA","Right"
"64",0.66184,1.7184,1.6871,1,"FBA","Right"
"65",-0.72429,0.24466,0.52314,1,"FBA","Right"
"66",-0.046278,1.3371,0.60435,1,"FBA","Right"
"67",-0.57302,0.13847,0.84931,1,"FBA","Right"
"68",0.2642,1.5815,2.0821,1,"FBA","Right"
"69",0.039735,-0.010216,1.5462,1,"FBA","Right"
"70",0.87909,0.87487,2.493,1,"FBA","Right"
"71",0.95772,0.71535,-0.035402,1,"FBA","Right"
"72",0.40447,1.9458,0.87249,1,"FBA","Right"
"73",0.33419,2.6785,3.1096,1,"FBA","Right"
"74",-0.36663,2.8003,2.9188,1,"FBA","Right"
"75",-0.62524,-0.16769,0.097242,1,"FBA","Right"
"76",-0.59557,0.62632,0.45414,1,"FBA","Right"
"77",-0.57076,1.3205,1.6113,1,"FBA","Right"
"78",0.17094,-0.52671,-0.43133,1,"FBA","Right"
"79",-0.69249,-0.24186,-0.43227,1,"FBA","Right"
"80",-0.53178,0.70838,0.53524,1,"FBA","Right"
"81",-0.055287,-0.32652,0.18146,1,"FBA","Right"
"82",0.04009,1.4425,0.69829,1,"FBA","Right"
"83",-1.7502,0.045671,0.26207,1,"FBA","Right"
"84",0.19673,1.4637,1.3308,1,"FBA","Right"
"85",-0.02892,6.5527,5.2137,1,"FBA","Right"
"86",0.44687,0.71858,0.36083,1,"FBA","Right"
"87",0.34037,4.3932,4.82,1,"FBA","Right"
"88",-0.38113,0.71993,0.83183,1,"FBA","Right"
"89",0.51091,0.75141,0.88915,1,"FBA","Right"
"90",-0.21764,2.0685,2.2627,1,"FBA","Right"
"91",-1.8282,5.4446,2.2118,1,"medial_obj","Left"
"92",-0.45793,0.15156,0.55611,1,"medial_obj","Left"
"93",-0.74107,0.16386,-0.06509,1,"medial_obj","Left"
"94",0.12784,1.2787,0.55588,1,"medial_obj","Left"
"95",0.77606,2.5756,2.976,1,"medial_obj","Left"
"96",-0.93585,1.8256,1.9254,1,"medial_obj","Left"
"97",1.4956,4.8223,2.2975,1,"medial_obj","Left"
"98",-0.61939,0.54522,1.141,1,"medial_obj","Left"
"99",-2.3305,2.9697,1.8353,1,"medial_obj","Left"
"100",0.4095,5.969,4.4433,1,"medial_obj","Left"
"101",-0.34349,-0.37234,0.16192,1,"medial_obj","Left"
"102",0.61955,4.8395,4.4759,1,"medial_obj","Left"
"103",-0.64673,4.8489,3.2658,1,"medial_obj","Left"
"104",0.50835,3.9825,3.8601,1,"medial_obj","Left"
"105",0.11395,1.7913,0.13039,1,"medial_obj","Left"
"106",0.032196,1.3324,1.3266,1,"medial_obj","Left"
"107",-0.71625,2.8869,0.77588,1,"medial_obj","Left"
"108",0.36862,5.0159,3.9312,1,"medial_obj","Left"
"109",-1.1893,0.066605,-0.48784,1,"medial_obj","Left"
"110",-1.9233,-2.0393,-1.5149,1,"medial_obj","Left"
"111",0.82954,4.1823,3.5596,1,"medial_obj","Left"
"112",0.78781,6.5014,3.7162,1,"medial_obj","Left"
"113",-0.70644,8.2748,4.1391,1,"medial_obj","Left"
"114",-0.53875,8.2073,4.0603,1,"medial_obj","Left"
"115",-0.87714,0.37165,0.22378,1,"medial_obj","Left"
"116",-0.54153,1.1821,-0.47149,1,"medial_obj","Left"
"117",-1.552,1.8881,0.9583,1,"medial_obj","Left"
"118",-0.067151,0.73562,0.45202,1,"medial_obj","Left"
"119",0.61861,-0.96548,-1.4671,1,"medial_obj","Left"
"120",0.58449,-0.22508,-1.038,1,"medial_obj","Left"
"121",1.7421,5.3079,6.2227,1,"medial_obj","Right"
"122",4.575,10.7413,10.4064,1,"medial_obj","Right"
"123",1.8676,3.8412,5.0427,1,"medial_obj","Right"
"124",0.2711,2.2895,0.0033173,1,"medial_obj","Right"
"125",-0.2271,0.68661,-0.5542,1,"medial_obj","Right"
"126",0.14113,3.1222,2.6483,1,"medial_obj","Right"
"127",0.55564,5.504,4.5399,1,"medial_obj","Right"
"128",-0.56045,2.6017,0.36111,1,"medial_obj","Right"
"129",-0.33861,1.2541,-0.018545,1,"medial_obj","Right"
"130",-0.75318,0.25191,-0.90301,1,"medial_obj","Right"
"131",-0.42861,1.783,0.73382,1,"medial_obj","Right"
"132",-1.9904,1.9527,-0.25448,1,"medial_obj","Right"
"133",-0.59385,2.9828,1.3916,1,"medial_obj","Right"
"134",-0.23028,2.75,0.90456,1,"medial_obj","Right"
"135",0.87678,2.813,0.8931,1,"medial_obj","Right"
"136",0.88571,2.7092,0.24919,1,"medial_obj","Right"
"137",0.33484,-0.23488,-0.8523,1,"medial_obj","Right"
"138",0.94764,1.2528,1.1038,1,"medial_obj","Right"
"139",0.65111,1.9047,1.2395,1,"medial_obj","Right"
"140",-0.15435,1.1219,0.39956,1,"medial_obj","Right"
"141",0.063066,4.9387,3.5646,1,"medial_obj","Right"
"142",-0.57828,0.33449,0.85839,1,"medial_obj","Right"
"143",0.6137,3.6603,3.2397,1,"medial_obj","Right"
"144",-3.6513,5.8273,3.5194,1,"medial_obj","Right"
"145",0.65054,1.6509,0.99128,1,"medial_obj","Right"
"146",0.32099,1.8159,0.89175,1,"medial_obj","Right"
"147",-0.3985,1.0898,0.89129,1,"medial_obj","Right"
"148",0.82002,0.53434,-0.14723,1,"medial_obj","Right"
