"","face_PSC","object_PSC","integratedFO_PSC","subj","ROI","hemi"
"1",-0.24221,-1.5057,0.031988,1,"FFA","Left"
"2",1.5703,0.65624,2.268,1,"FFA","Left"
"3",5.6455,2.0156,5.2229,1,"FFA","Left"
"4",1.3434,0.89856,2.7812,1,"FFA","Left"
"5",3.5808,0.26806,2.7047,1,"FFA","Left"
"6",2.3278,1.7174,1.9369,1,"FFA","Left"
"7",1.5262,1.354,1.598,1,"FFA","Left"
"8",0.6792,0.29088,0.12413,1,"FFA","Left"
"9",1.4136,1.101,1.4149,1,"FFA","Left"
"10",1.8289,1.0083,1.211,1,"FFA","Left"
"11",6.7383,1.0065,4.9104,1,"FFA","Left"
"12",1.5471,1.0517,2.4034,1,"FFA","Left"
"13",2.8042,1.2795,2.5264,1,"FFA","Left"
"14",2.6402,0.084096,1.4896,1,"FFA","Left"
"15",3.7785,1.223,2.7691,1,"FFA","Left"
"16",0.56541,0.19901,1.6236,1,"FFA","Left"
"17",1.2049,0.60125,1.0766,1,"FFA","Left"
"18",0.7669,-0.16053,-0.30166,1,"FFA","Left"
"19",0.5453,1.0066,0.075809,1,"FFA","Left"
"20",0.21603,0.87941,1.0971,1,"FFA","Left"
"21",3.481,0.74338,3.7054,1,"FFA","Left"
"22",1.1914,-1.1959,1.0937,1,"FFA","Left"
"23",2.2724,0.087723,1.6474,1,"FFA","Left"
"24",1.7567,0.84376,3.074,1,"FFA","Left"
"25",0.91234,-0.17434,0.58034,1,"FFA","Left"
"26",1.6894,0.72348,1.8212,1,"FFA","Left"
"27",2.8525,0.34809,2.6164,1,"FFA","Left"
"28",1.962,-0.58129,0.91908,1,"FFA","Left"
"29",0.81311,1.0802,1.5218,1,"FFA","Left"
"30",2.0681,0.27262,0.4494,1,"FFA","Left"
"31",-0.18334,-4.2398,-0.94541,1,"FFA","Right"
"32",4.5812,3.2746,4.7448,1,"FFA","Right"
"33",8.8554,4.2571,7.3246,1,"FFA","Right"
"34",1.2022,-1.7357,0.99459,1,"FFA","Right"
"35",1.4595,-0.75561,0.75916,1,"FFA","Right"
"36",2.198,0.93153,2.2704,1,"FFA","Right"
"37",1.0147,0.95296,1.9596,1,"FFA","Right"
"38",2.0813,-0.011788,1.1978,1,"FFA","Right"
"39",2.1154,-1.7762,0.87274,1,"FFA","Right"
"40",3.0045,0.65456,2.4815,1,"FFA","Right"
"41",3.4282,3.0172,3.3798,1,"FFA","Right"
"42",4.3744,5.1597,5.1294,1,"FFA","Right"
"43",3.4245,1.1769,1.8637,1,"FFA","Right"
"44",1.4547,1.128,1.3826,1,"FFA","Right"
"45",1.0277,-0.95511,1.7285,1,"FFA","Right"
"46",-0.33194,-2.0011,0.26867,1,"FFA","Right"
"47",2.2354,-1.8408,2.1537,1,"FFA","Right"
"48",2.2821,-0.72502,2.4307,1,"FFA","Right"
"49",2.1565,0.91958,2.1206,1,"FFA","Right"
"50",0.552,0.36829,-0.040245,1,"FFA","Right"
"51",-0.33894,-1.9967,-1.4135,1,"FFA","Right"
"52",1.5139,0.75087,0.18243,1,"FFA","Right"
"53",0.08021,-0.070787,0.040357,1,"FFA","Right"
"54",1.7205,-0.3037,1.616,1,"FFA","Right"
"55",2.0407,-0.2146,1.2472,1,"FFA","Right"
"56",3.6436,1.1002,3.5558,1,"FFA","Right"
"57",1.7939,-1.6378,0.89093,1,"FFA","Right"
"58",2.4673,0.45056,2.2014,1,"FFA","Right"
"59",1.0111,0.040576,1.8615,1,"FFA","Right"
"60",2.6116,-0.10685,3.1652,1,"FFA","Right"
"61",-2.0208,-0.04174,-0.85646,1,"FBA","Right"
"62",2.5839,1.8512,2.5546,1,"FBA","Right"
"63",1.0002,2.0018,1.5065,1,"FBA","Right"
"64",1.0619,2.085,1.3893,1,"FBA","Right"
"65",0.22718,0.051525,0.096502,1,"FBA","Right"
"66",0.33074,0.14644,-0.011731,1,"FBA","Right"
"67",1.7416,0.54929,2.3103,1,"FBA","Right"
"68",0.88235,0.45513,2.1117,1,"FBA","Right"
"69",0.090803,-0.62023,0.55018,1,"FBA","Right"
"70",0.21857,0.41898,1.3434,1,"FBA","Right"
"71",0.28162,-1.0048,-0.071769,1,"FBA","Right"
"72",0.81686,-0.39353,-0.80757,1,"FBA","Right"
"73",0.33453,0.22956,0.48898,1,"FBA","Right"
"74",1.1697,0.96344,0.5452,1,"FBA","Right"
"75",0.45188,0.47974,0.826,1,"FBA","Right"
"76",0.39464,-0.014723,0.37077,1,"FBA","Right"
